delta,epsilon,reported_improvement_pct
5e-7,0.1,NA
5e-7,0.25,2.12
5e-7,0.5,16.74
5e-7,0.75,61.20
5e-7,1,60.39
5e-7,2,65.19
5e-7,3,78.55
5e-7,4,79.75
5e-7,5,85.53
5e-7,10,82.54
1e-6,0.1,NA
1e-6,0.25,2.88
1e-6,0.5,19.02
1e-6,0.75,60.13
1e-6,1,59.36
1e-6,2,64.43
1e-6,3,78.10
1e-6,4,79.37
1e-6,5,79.02
1e-6,10,88.08
5e-6,0.1,NA
5e-6,0.25,3.40
5e-6,0.5,25.86
5e-6,0.75,67.34
5e-6,1,69.02
5e-6,2,77.93
5e-6,3,87.84
5e-6,4,92.05
5e-6,5,93.78
5e-6,10,98.22
1e-5,0.1,NA
1e-5,0.25,3.86
1e-5,0.5,35.99
1e-5,0.75,66.04
1e-5,1,67.80
1e-5,2,79.16
1e-5,3,87.58
1e-5,4,91.87
1e-5,5,94.68
1e-5,10,98.31
5e-5,0.1,NA
5e-5,0.25,6.01
5e-5,0.5,60.00
5e-5,0.75,62.29
5e-5,1,64.20
5e-5,2,74.90
5e-5,3,86.78
5e-5,4,91.11
5e-5,5,95.48
5e-5,10,95.37
1e-4,0.1,0.08
1e-4,0.25,7.32
1e-4,0.5,57.62
1e-4,0.75,59.79
1e-4,1,63.14
1e-4,2,72.86
1e-4,3,85.76
1e-4,4,90.75
1e-4,5,94.71
1e-4,10,95.63
5e-4,0.1,NA
5e-4,0.25,15.04
5e-4,0.5,50.47
5e-4,0.75,53.45
5e-4,1,57.57
5e-4,2,69.36
5e-4,3,84.10
5e-4,4,91.87
5e-4,5,94.78
5e-4,10,95.28
1e-3,0.1,NA
1e-3,0.25,40.90
1e-3,0.5,46.36
1e-3,0.75,49.97
1e-3,1,54.42
1e-3,2,67.43
1e-3,3,83.21
1e-3,4,91.45
1e-3,5,94.53
1e-3,10,95.11
5e-3,0.1,0.25
5e-3,0.25,27.93
5e-3,0.5,34.86
5e-3,0.75,39.39
5e-3,1,44.23
5e-3,2,61.43
5e-3,3,80.50
5e-3,4,90.20
5e-3,5,93.78
5e-3,10,94.60
0.01,0.1,13.91
0.01,0.25,19.84
0.01,0.5,27.68
0.01,0.75,33.74
0.01,1,38.03
0.01,2,57.84
0.01,3,79.12
0.01,4,89.54
0.01,5,93.89
0.01,10,94.32
0.02,0.1,8.35
0.02,0.25,15.33
0.02,0.5,18.67
0.02,0.75,27.76
0.02,1,29.75
0.02,2,53.27
0.02,3,77.18
0.02,4,88.74
0.02,5,93.42
0.02,10,94.00
0.05,0.1,8.05
0.05,0.25,9.69
0.05,0.5,9.57
0.05,0.75,17.49
0.05,1,18.73
0.05,2,44.93
0.05,3,73.74
0.05,4,87.24
0.05,5,92.63
0.05,10,93.47
0.1,0.1,8.05
0.1,0.25,6.73
0.1,0.5,0.37
0.1,0.75,13.71
0.1,1,13.13
0.1,2,35.70
0.1,3,70.07
0.1,4,85.67
0.1,5,91.81
0.1,10,92.95
0.15,0.1,3.17
0.15,0.25,3.75
0.15,0.5,3.47
0.15,0.75,NA
0.15,1,0.85
0.15,2,35.72
0.15,3,67.22
0.15,4,84.48
0.15,5,91.19
0.15,10,92.57
0.25,0.1,2.19
0.25,0.25,3.21
0.25,0.5,2.06
0.25,0.75,10.91
0.25,1,9.64
0.25,2,24.29
0.25,3,62.46
0.25,4,82.50
0.25,5,90.19
0.25,10,91.97
